RefDateTime,WIGOS,Telepules,Lat,Lon,Temp,Bulletin
2024-09-06 10:50:00,13704,Sopron Kuruc-domb,47.67833,16.60222,23.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,13711,Fertorakos,47.71472,16.66583,23.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,14707,Sopronhorpacs,47.48056,16.72917,24.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,15310,Szombathely,47.19833,16.64778,26.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,15811,Vasvar,47.05111,16.81194,25.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,16204,Szentgotthard Farkasfa,46.91028,16.30944,23.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,16414,Nagykutas,46.92583,16.81278,25.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,17306,Iklodbordoce,46.60556,16.61306,26.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,17419,Sojtor,46.65111,16.84083,26.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,17809,Nagykanizsa,46.45611,16.97056,26.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,23201,Mosonmagyarovar,47.88972,17.26722,24.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,23703,Gyor Likocs,47.71,17.67472,27.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,23714,Gyor Egyetem,47.69306,17.6275,26.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,24120,Jobahaza,47.57667,17.18194,25.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,24423,Per repuloter,47.62444,17.81194,26.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,24424,Per repuloter (eszak),47.63083,17.79556,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,24607,Papa repuloter (eszak),47.37056,17.49639,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,24709,Papa repuloter,47.35694,17.50361,27.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,25503,Kald,47.16056,17.03972,27.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,25713,Kab-hegy,47.04694,17.65694,24.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,25820,Szentkiralyszabadja repuloter,47.08278,17.97056,25.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,26212,Sumeg,46.96417,17.29167,26.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,26505,Keszthely Tanyakereszt,46.73556,17.23861,26.3,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,26514,Sarmellek repuloter,46.69417,17.1575,27.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,26515,Sarmellek repuloter (del),46.67889,17.16333,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,26710,Fonyod,46.74917,17.5525,26.3,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,27406,Kisbarapati,46.61722,17.87028,28.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,27615,Nemeskisfalud,46.44,17.37444,27.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,27815,Kaposvar Feszerlak,46.36278,17.87389,27.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,28104,Csurgo,46.22861,17.10889,27.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,28609,Babocsa,46.02472,17.33667,27.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,28700,Homokszentgyorgy Mariettapuszta,46.10333,17.52694,25.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,32805,Tesa Vizmu,48.02694,18.82556,25.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,33605,Gerecse teto,47.67583,18.49333,23.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,33720,Tat Vizmu,47.75639,18.60611,27.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,34234,Tata,47.65028,18.3075,25.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,34429,Budapest Janos-hegy,47.51861,18.95889,22.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,34500,Verteskethely,47.48944,18.08583,24.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,34712,Felcsut,47.44944,18.5775,26.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,35116,Tes,47.26222,18.03222,22.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,35315,Agard,47.19,18.58361,26.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,35418,Martonvasar,47.31111,18.78,27.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,35605,Szekesfehervar,47.16528,18.4325,25.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,35800,Tass Vizmu,47.02139,18.98528,27.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,36100,Siofok,46.91083,18.04083,26.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,36115,Siofok kikoto,46.91222,18.0425,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,36301,Sarbogard,46.88333,18.60972,25.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,36308,Sarkeresztur,46.99528,18.52472,25.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,36407,Dunaujvaros,46.95056,18.95222,26.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,36500,Iregszemcse,46.68556,18.18361,28.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,37402,Paks,46.57361,18.84556,26.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,37405,Paks Atomeromu,46.575,18.84722,26.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,37613,Tevel,46.43111,18.45472,25.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,38305,Bataapati,46.21917,18.61056,25.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,38528,Pecs Egyetem,46.07778,18.20722,26.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,38537,Boda,46.08667,18.04639,24.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,38605,Pecs Arpadteto,46.13472,18.25222,25.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,39115,Pogany repuloter,45.995,18.235,26.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,39116,Pogany repuloter (eszak),45.9925,18.23861,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,42708,Szecseny,48.10667,19.51556,28.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,43416,Gyongyossolymos Nyirjes,47.9,19.94694,24.3,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,43613,Penc Obszervatorium,47.79,19.28361,25.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,43617,Puspokszilagy,47.72972,19.31,25.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,44165,Budapest Ujpest,47.57333,19.075,27.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,44214,Aszod,47.65556,19.47639,25.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,44505,Budapest Lagymanyos,47.47472,19.06194,26.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,44527,Budapest Pestszentlorinc,47.42917,19.18222,27.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,44625,Budapest Ferihegy,47.43694,19.25417,28.3,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,44710,Sulysap Surupuszta,47.43194,19.53667,26.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,44811,Tapioszele Kulsomezo,47.355,19.88944,26.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,45208,Kakucs,47.24528,19.36028,27.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,46214,Fulophaza Hattyus-szek,46.87111,19.42194,28.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,46304,Kecskemet K-puszta,46.96556,19.545,27.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,46313,Kecskemet repuloter (eszak),46.92139,19.73917,,'ISAD30_HABP_061050.dat'        
